Date의 연도,Missile Name,Missile Family,Launches
2023,Hwasong-18,ICBM,3
2022,Hwasong-18,,
2021,Hwasong-18,,
2020,Hwasong-18,,
2019,Hwasong-18,,
2018,Hwasong-18,,
2017,Hwasong-18,,
2016,Hwasong-18,,
2015,Hwasong-18,,
2014,Hwasong-18,,
2013,Hwasong-18,,
2012,Hwasong-18,,
2011,Hwasong-18,,
2010,Hwasong-18,,
2009,Hwasong-18,,
2008,Hwasong-18,,
2007,Hwasong-18,,
2006,Hwasong-18,,
2005,Hwasong-18,,
2004,Hwasong-18,,
2003,Hwasong-18,,
2002,Hwasong-18,,
2001,Hwasong-18,,
2000,Hwasong-18,,
1999,Hwasong-18,,
1998,Hwasong-18,,
1997,Hwasong-18,,
1996,Hwasong-18,,
1995,Hwasong-18,,
1994,Hwasong-18,,
1993,Hwasong-18,,
1992,Hwasong-18,,
1991,Hwasong-18,,
1990,Hwasong-18,,
1989,Hwasong-18,,
1988,Hwasong-18,,
1987,Hwasong-18,,
1986,Hwasong-18,,
1985,Hwasong-18,,
1984,Hwasong-18,,
2024,Hwasong-17,,
2023,Hwasong-17,ICBM,1
2022,Hwasong-17,ICBM,2
2021,Hwasong-17,,
2020,Hwasong-17,,
2019,Hwasong-17,,
2018,Hwasong-17,,
2017,Hwasong-17,,
2016,Hwasong-17,,
2015,Hwasong-17,,
2014,Hwasong-17,,
2013,Hwasong-17,,
2012,Hwasong-17,,
2011,Hwasong-17,,
2010,Hwasong-17,,
2009,Hwasong-17,,
2008,Hwasong-17,,
2007,Hwasong-17,,
2006,Hwasong-17,,
2005,Hwasong-17,,
2004,Hwasong-17,,
2003,Hwasong-17,,
2002,Hwasong-17,,
2001,Hwasong-17,,
2000,Hwasong-17,,
1999,Hwasong-17,,
1998,Hwasong-17,,
1997,Hwasong-17,,
1996,Hwasong-17,,
1995,Hwasong-17,,
1994,Hwasong-17,,
1993,Hwasong-17,,
1992,Hwasong-17,,
1991,Hwasong-17,,
1990,Hwasong-17,,
1989,Hwasong-17,,
1988,Hwasong-17,,
1987,Hwasong-17,,
1986,Hwasong-17,,
1985,Hwasong-17,,
1984,Hwasong-17,,
2024,Hwasong-16B,Intermediate Range Ballistic Missile,1
2023,Hwasong-16B,,
2022,Hwasong-16B,,
2021,Hwasong-16B,,
2020,Hwasong-16B,,
2019,Hwasong-16B,,
2018,Hwasong-16B,,
2017,Hwasong-16B,,
2016,Hwasong-16B,,
2015,Hwasong-16B,,
2014,Hwasong-16B,,
2013,Hwasong-16B,,
2012,Hwasong-16B,,
2011,Hwasong-16B,,
2010,Hwasong-16B,,
2009,Hwasong-16B,,
2008,Hwasong-16B,,
2007,Hwasong-16B,,
2006,Hwasong-16B,,
2005,Hwasong-16B,,
2004,Hwasong-16B,,
2003,Hwasong-16B,,
2002,Hwasong-16B,,
2001,Hwasong-16B,,
2000,Hwasong-16B,,
1999,Hwasong-16B,,
1998,Hwasong-16B,,
1997,Hwasong-16B,,
1996,Hwasong-16B,,
1995,Hwasong-16B,,
1994,Hwasong-16B,,
1993,Hwasong-16B,,
1992,Hwasong-16B,,
1991,Hwasong-16B,,
1990,Hwasong-16B,,
1989,Hwasong-16B,,
1988,Hwasong-16B,,
1987,Hwasong-16B,,
1986,Hwasong-16B,,
1985,Hwasong-16B,,
1984,Hwasong-16B,,
2024,Hwasong-16A?,Intermediate Range Ballistic Missile,1
2023,Hwasong-16A?,,
2022,Hwasong-16A?,,
2021,Hwasong-16A?,,
2020,Hwasong-16A?,,
2019,Hwasong-16A?,,
2018,Hwasong-16A?,,
2017,Hwasong-16A?,,
2016,Hwasong-16A?,,
2015,Hwasong-16A?,,
2014,Hwasong-16A?,,
2013,Hwasong-16A?,,
2012,Hwasong-16A?,,
2011,Hwasong-16A?,,
2010,Hwasong-16A?,,
2009,Hwasong-16A?,,
2008,Hwasong-16A?,,
2007,Hwasong-16A?,,
2006,Hwasong-16A?,,
